Date, Open, High, Low, Close
09/26/23, 105.94, 106.26, 105.86, 106.23
09/25/23, 105.57, 106.10, 105.52, 106.00
09/22/23, 105.38, 105.78, 105.32, 105.58
09/21/23, 105.44, 105.74, 105.28, 105.36
09/20/23, 105.11, 105.44, 104.67, 105.20
09/19/23, 105.08, 105.21, 104.81, 105.20
09/18/23, 105.30, 105.36, 105.02, 105.20
09/15/23, 105.38, 105.41, 105.08, 105.32
09/14/23, 104.74, 105.44, 104.56, 105.41
09/13/23, 104.58, 104.97, 104.51, 104.77
09/12/23, 104.56, 104.92, 104.46, 104.71
09/11/23, 105.06, 104.94, 104.42, 104.57
09/08/23, 105.06, 105.10, 104.66, 105.09
09/07/23, 104.86, 105.16, 104.80, 105.06
09/06/23, 104.75, 105.02, 104.59, 104.86
09/05/23, 104.13, 104.91, 104.11, 104.81
09/04/23, 104.26, 104.27, 104.03, 104.11
09/01/23, 103.62, 104.29, 103.27, 104.24
08/31/23, 103.10, 103.74, 103.01, 103.62
08/30/23, 103.44, 103.70, 102.94, 103.16
08/29/23, 103.92, 104.36, 103.36, 103.53
08/28/23, 104.17, 104.21, 103.97, 104.06
08/25/23, 104.09, 104.45, 103.74, 103.98
08/24/23, 103.36, 104.03, 103.27, 103.98
08/23/23, 103.58, 103.98, 103.30, 103.56
08/22/23, 103.33, 103.72, 103.01, 103.30
08/21/23, 103.43, 103.50, 103.14, 103.30
08/18/23, 103.40, 103.68, 103.22, 103.57
08/17/23, 103.47, 103.60, 103.06, 103.57
08/16/23, 103.21, 103.53, 102.94, 103.43
08/15/23, 103.15, 103.27, 102.82, 103.21
08/14/23, 102.84, 103.46, 102.77, 103.19
08/11/23, 102.62, 102.91, 102.42, 102.84
08/10/23, 102.48, 102.65, 101.78, 102.52
08/09/23, 102.55, 102.58, 102.29, 102.49
08/08/23, 102.07, 102.80, 102.06, 102.53
08/07/23, 101.99, 102.38, 101.97, 102.05
08/04/23, 102.45, 102.62, 101.74, 102.02
08/03/23, 102.59, 102.84, 102.36, 102.54
08/02/23, 101.96, 102.78, 101.96, 102.59
08/01/23, 101.87, 102.43, 101.85, 102.30
07/31/23, 101.70, 101.91, 101.53, 101.86
07/28/23, 101.69, 102.04, 101.36, 101.62
07/27/23, 101.11, 101.84, 100.55, 101.77
07/26/23, 101.32, 101.44, 100.86, 100.89
07/25/23, 101.42, 101.65, 101.19, 101.35
07/24/23, 101.05, 101.42, 100.89, 101.35
07/21/23, 100.78, 101.19, 100.72, 101.07
07/20/23, 100.28, 100.97, 100.02, 100.88
07/19/23, 99.98, 100.53, 99.92, 100.28
07/18/23, 99.89, 100.11, 99.59, 99.94
07/17/23, 99.95, 100.18, 99.75, 99.84
07/14/23, 99.75, 100.02, 99.58, 99.91
07/13/23, 100.52, 100.61, 99.74, 99.77
07/12/23, 101.59, 101.61, 100.51, 100.52
07/11/23, 101.94, 101.97, 101.65, 101.73
07/10/23, 102.29, 102.56, 101.95, 101.97
07/07/23, 103.08, 103.19, 102.23, 102.27
07/06/23, 103.35, 103.57, 102.92, 103.17
07/05/23, 103.08, 103.39, 102.95, 103.37
07/04/23, 102.97, 103.11, 102.88, 103.04
07/03/23, 102.93, 103.27, 102.75, 102.99
06/30/23, 103.34, 103.54, 102.75, 102.91
06/29/23, 102.96, 103.44, 102.78, 103.34
06/28/23, 102.51, 103.14, 102.47, 102.91
06/27/23, 102.74, 102.80, 102.32, 102.49
06/26/23, 102.83, 102.83, 102.61, 102.69
06/23/23, 102.38, 103.17, 102.38, 102.90
06/22/23, 102.03, 102.47, 101.92, 102.39
06/21/23, 102.50, 102.70, 102.02, 102.07
06/20/23, 102.48, 102.78, 102.32, 102.54
06/19/23, 102.30, 102.55, 102.25, 102.52
06/16/23, 102.12, 102.43, 102.01, 102.24
06/15/23, 102.96, 103.38, 102.09, 102.11
06/14/23, 103.32, 103.40, 102.66, 102.95
06/13/23, 103.58, 103.62, 103.05, 103.34
06/12/23, 103.55, 103.76, 103.24, 103.65
06/09/23, 103.30, 103.61, 103.30, 103.56
06/08/23, 104.07, 104.07, 103.30, 103.34
06/07/23, 104.12, 104.30, 103.66, 104.10
06/06/23, 104.01, 104.37, 103.82, 104.13
06/05/23, 104.04, 104.40, 103.93, 104.00
06/02/23, 103.56, 104.09, 103.38, 104.02
06/01/23, 104.15, 104.50, 103.50, 103.56
05/31/23, 104.05, 104.70, 104.01, 104.33
05/30/23, 104.30, 104.53, 103.88, 104.17
05/29/23, 104.23, 104.31, 104.04, 104.21
05/26/23, 104.23, 104.42, 103.85, 104.21
05/25/23, 103.86, 104.31, 103.84, 104.25
05/24/23, 103.54, 103.91, 103.35, 103.89
05/23/23, 103.27, 103.65, 103.16, 103.49
05/22/23, 103.19, 103.37, 102.96, 103.20
05/19/23, 103.51, 103.62, 103.00, 103.20
05/18/23, 102.91, 103.62, 102.80, 103.58
05/17/23, 102.61, 103.11, 102.54, 102.88
05/16/23, 102.43, 102.69, 102.20, 102.56
05/15/23, 102.67, 102.75, 102.38, 102.43
05/12/23, 102.09, 102.71, 101.94, 102.68
05/11/23, 101.41, 102.15, 101.30, 102.06
05/10/23, 101.62, 101.81, 101.22, 101.48
05/09/23, 101.40, 101.83, 101.36, 101.61
05/08/23, 101.26, 101.42, 101.04, 101.38
05/05/23, 101.34, 101.78, 101.12, 101.21
